,name,username,license,tags,freesound_id,path
0,Stream.wav,14FPanskaSilovsky_Petr,http://creativecommons.org/publicdomain/zero/1.0/,"['Pansk', 'Stream', 'Czech', 'CZ', 'Panska', 'Village']",419929,files/amb_sounds/419929_8373708-hq.ogg
1,"A donkey is braying in the field, close to the small village of La Preciosita",felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,"['donkey', 'blume', 'mexico', 'bray', 'felix', 'bawl', 'preciosita', 'braying', 'animal', 'village', 'screaming', 'scream']",133761,files/amb_sounds/133761_1661766-hq.ogg
2,"Donkey braying loud with distant village atmosphere, close recording",felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,"['donkey', 'screaming', 'village', 'animal', 'loud', 'Felix', 'countryside', 'Blume', 'Felixblume', 'braying', 'field-recording', 'atmosphere', 'closerecording', 'ambiance', 'Mexico']",705300,files/amb_sounds/705300_1661766-hq.ogg
3,001-auto.wav,13GPanska_Dubnova_Magdalena,http://creativecommons.org/publicdomain/zero/1.0/,"['car', 'field-recording', 'village']",379165,files/amb_sounds/379165_7027631-hq.ogg
4,RAIN STICK B 004.wav,sandyrb,https://creativecommons.org/licenses/by/4.0/,"['chile', 'chilean', 'ghana', 'ghanaian', 'instrument', 'percussion', 'peru', 'peruvian', 'rain', 'rainstick', 'rattle', 'shaker', 'stick', 'storm', 'weather']",86361,files/amb_sounds/86361_14771-hq.ogg
5,AMBIENT - Rain - Light - Near Drainpipe (LOOP).mp3,Arctura,http://creativecommons.org/licenses/by/3.0/,"['deep', 'drainpipe', 'droplets', 'field-recording', 'nature', 'outdoors', 'rain', 'rainfall', 'rumble', 'shower', 'sprinkle', 'weather']",34066,files/amb_sounds/34066_28216-hq.ogg
6,Rain-Heavy-Loopable.wav,svampen,http://creativecommons.org/licenses/by/3.0/,"['weather', 'loop', 'rain', 'field-recording']",334149,files/amb_sounds/334149_5910095-hq.ogg
7,room-tone wind rain 11 200216_0114.wav,klankbeeld,https://creativecommons.org/licenses/by/4.0/,"['raining', 'atmosphere', 'general-noise', 'house', 'gale', 'windy', 'indoors', 'ambient', 'tone', 'apartment', 'window', 'storm', 'ambience', 'room-tone', 'polar', 'blowing', 'bouncing', 'rain', 'white-noise', 'building', 'atmospheric', 'room', 'howling', 'inside', 'gusts', 'breeze', 'wind', 'room-noise', 'background-sound']",522752,files/amb_sounds/522752_1648170-hq.ogg
8,walk-forest02.wav,JanKoehl,https://creativecommons.org/licenses/by/4.0/,"['branch', 'crack', 'forest', 'ground', 'step', 'stomp', 'walk']",85602,files/amb_sounds/85602_1078663-hq.ogg
9,birds in the forest,13F_Panska_Petruzelova_Anna,http://creativecommons.org/publicdomain/zero/1.0/,"['atmosphere', 'forest', 'birds']",379246,files/amb_sounds/379246_7027306-hq.ogg
10,"Autumn leaves falling on forest floor (close, loopable)",Mjeno,http://creativecommons.org/publicdomain/zero/1.0/,"['field-recording', 'nature', 'leaves', 'ambient', 'ambiance', 'autumn', 'game', 'atmo', 'video', 'forest', 'fall', 'ambience', 'wind', 'loop']",405136,files/amb_sounds/405136_3958938-hq.ogg
11,pine-forest--ww2-soldier--jumps--twigs.wav,elonen,http://creativecommons.org/publicdomain/zero/1.0/,"['foley', 'branches', 'rustle', 'metal', 'soldier', 'forest', 'grass', 'field-recording']",478383,files/amb_sounds/478383_45914-hq.ogg
12,rain_heavy_traffic_06.wav,ania635,http://creativecommons.org/publicdomain/zero/1.0/,"['gdansk', 'busy', 'wet-road', 'traffic', 'heavy', 'rain', 'cars', 'street']",691534,files/amb_sounds/691534_15056885-hq.ogg
13,aves y tráfico parque la flora birds and traffic 2.aif,guanescape,http://creativecommons.org/publicdomain/zero/1.0/,"['traffic', 'birds', 'field-recording']",640117,files/amb_sounds/640117_14080612-hq.ogg
14,R05-40-Constant Outdoor Traffic.wav,craigsmith,http://creativecommons.org/publicdomain/zero/1.0/,"['Ambience', 'Vintage', 'Optical', 'Traffic']",479540,files/amb_sounds/479540_2524442-hq.ogg
15,Sydney3.Australia.m4a,Stop-Light-Traffic-Sound,http://creativecommons.org/publicdomain/zero/1.0/,"['Atmosphere', 'Atmos', 'Street', 'Traffic', 'Light', 'City']",689275,files/amb_sounds/689275_1199394-hq.ogg
16,OceanWaves.wav,darren1979,http://creativecommons.org/licenses/sampling+/1.0/,"['ocean', 'water', 'waves']",58416,files/amb_sounds/58416_700192-hq.ogg
17,ocean_8192_4096.wav,wilLOCK,http://creativecommons.org/publicdomain/zero/1.0/,"['automatic', 'ocean', 'tempo', 'stochastic']",452684,files/amb_sounds/452684_2258794-hq.ogg
18,Ocean Loop.wav,ChrisButler99,https://creativecommons.org/licenses/by/4.0/,"['8-bit', 'Loop', 'Ocean']",367986,files/amb_sounds/367986_5566865-hq.ogg
19,Walking By The Ocean.wav,Lucas_Schacht,http://creativecommons.org/publicdomain/zero/1.0/,"['walking', 'field-recordng', 'sea', 'sand', 'splash', 'gravel', 'beach', 'footprints', 'wellen', 'oceanside', 'ozean', 'flintstone', 'coast', 'water', 'flint', 'waves', 'stone', 'ostsee', 'seaside', 'ocean', 'shore', 'nordsee', 'rock', 'baltic', 'footsteps', 'wind', 'meer']",534918,files/amb_sounds/534918_7020075-hq.ogg
